Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
NTT Tokyo 10,Mitaka,Tokyo,25.0,75.69,Excellent,86.04,63.56,22.48,baseline_pue; load_growth_rate; energy_pct_opex,68.1,80.98,70.84,80.52,75.69,75.69,HIGH
SP1,Osasco,São Paulo,6.0,57.43,Good,67.24,44.76,22.48,baseline_pue; load_growth_rate; energy_pct_opex,49.5,62.37,52.61,62.2,57.43,57.43,HIGH
Digital Realty NRT10,Inzai,Chiba,26.0,75.75,Excellent,86.09,63.65,22.44,baseline_pue; load_growth_rate; energy_pct_opex,68.19,81.04,70.91,80.58,75.75,75.75,HIGH
Pudonweg 37 (AMS8),Amsterdam,,14.8,72.78,Good,83.03,60.59,22.44,baseline_pue; load_growth_rate; energy_pct_opex,65.16,78.01,67.94,77.6,72.78,72.78,HIGH
Cessnalaan 50 AMS7,Amsterdam,,14.8,72.78,Good,83.03,60.59,22.44,baseline_pue; load_growth_rate; energy_pct_opex,65.16,78.01,67.94,77.6,72.78,72.78,HIGH
Colt Inzai 3,Inzai,Chiba,27.0,75.81,Excellent,86.14,63.73,22.41,baseline_pue; load_growth_rate; energy_pct_opex,68.27,81.09,70.98,80.64,75.81,75.81,HIGH
HD-1,Hyderabad,Telangana,5.5,46.07,Moderate,55.52,33.12,22.4,baseline_pue; load_growth_rate; energy_pct_opex,37.97,50.78,41.28,50.8,46.07,46.07,HIGH
Tamboré,São Paulo,São Paulo,6.1,57.6,Good,67.38,44.99,22.39,baseline_pue; load_growth_rate; energy_pct_opex,49.72,62.52,52.79,62.36,57.6,57.6,HIGH
Hanauer Landstrasse 304-306 (FRA2),Frankfurt,,0.4,48.98,Moderate,59.36,37.05,22.31,baseline_pue; load_growth_rate; energy_pct_opex,41.54,54.29,44.14,53.81,48.98,48.98,HIGH
Via delle Testuggini (ROM1),Rome,Lazio,35.6,76.2,Excellent,86.46,64.25,22.21,baseline_pue; load_growth_rate; energy_pct_opex,68.76,81.42,71.38,81.01,76.2,76.2,HIGH
Digital Realty NRT12,Inzai,Chiba,36.0,76.21,Excellent,86.47,64.27,22.2,baseline_pue; load_growth_rate; energy_pct_opex,68.78,81.44,71.4,81.02,76.21,76.21,HIGH
Digital Realty NRT14,Inzai,Chiba,38.0,76.27,Excellent,86.52,64.35,22.17,baseline_pue; load_growth_rate; energy_pct_opex,68.86,81.49,71.46,81.08,76.27,76.27,HIGH
